Name,Action,Protocol,Src-Address,Src-Port,Dst-Address,Dst-Port
acl_Permit_TCP_172.17.131.0_106,permit,tcp,172.17.176.2/32,172.17.131.0/24,1813,any
acl_Permit_UDP_172.17.131.0_28,permit,udp,172.17.176.2/32,172.17.131.0/24,1812,any
acl_Permit_UDP_172.17.131.0_58,permit,udp,172.17.176.2/32,172.17.131.0/24,1813,any
acl_Permit_TCP_172.17.131.0_87,permit,tcp,172.17.176.66/32,172.17.131.0/24,49,any
acl_Permit_UDP_172.17.131.0_29,permit,udp,172.17.176.66/32,172.17.131.0/24,49,any
acl_Permit_TCP_172.17.131.0_88,permit,tcp,172.17.176.2/32,172.17.131.0/24,49,any
acl_Permit_UDP_172.17.131.0_30,permit,udp,172.17.176.2/32,172.17.131.0/24,49,any
acl_Permit_UDP_172.17.131.0_31,permit,udp,172.17.176.66/32,172.17.131.0/24,any,1700
acl_Permit_UDP_172.17.131.0_32,permit,udp,172.17.176.66/32,172.17.131.0/24,any,3799
acl_Permit_UDP_172.17.131.0_33,permit,udp,172.17.176.2/32,172.17.131.0/24,any,1700
acl_Permit_UDP_172.17.131.0_34,permit,udp,172.17.176.2/32,172.17.131.0/24,any,3799
acl_Deny_Any_Any,deny,ip,0.0.0.0/0,0.0.0.0/0, , 
acl_icmp_reply_1,permit,icmp,172.17.139.0/24,0.0.0.0/0,any,any
acl_icmp_request_1,permit,icmp,172.17.139.0/24,0.0.0.0/0,any,any
acl_ip_170.70.65.177,permit,ip,172.17.139.0/24,170.70.65.177/32, , 
acl_ip_170.70.65.187,permit,ip,172.17.139.0/24,170.70.65.187/32, , 
acl_Deny_Any_Any,deny,ip,0.0.0.0/0,0.0.0.0/0, , 
acl_Deny_UPD_4444,deny,udp,0.0.0.0/0,0.0.0.0/0,1024-65535,4444
acl_Deny_UPD_4996,deny,udp,0.0.0.0/0,0.0.0.0/0,1024-65535,4996
acl_Deny_UPD_69,deny,udp,0.0.0.0/0,0.0.0.0/0,1024-65535,69
acl_Deny_IP_10.0.0.0,deny,ip,10.0.0.0/24,0.0.0.0/0, , 
acl_Deny_IP_127.0.0.0,deny,ip,127.0.0.0/24,0.0.0.0/0, , 
acl_Deny_IP_169.254.0.0,deny,ip,169.254.0.0/16,0.0.0.0/0, , 
acl_Deny_IP_192.0.0.0,deny,ip,192.0.0.0/8,0.0.0.0/0, , 
acl_Permit_DHCP,deny,udp,0.0.0.0/0,0.0.0.0/0,68,67
acl_icmp_reply_1,permit,icmp,172.17.66.32/28,0.0.0.0/0,any,any
acl_icmp_request_1,permit,icmp,172.17.66.32/28,0.0.0.0/0,any,any
acl_Deny_ICMP,deny,icmp,0.0.0.0/0,0.0.0.0/0,any,any
acl_tcp_172.17.66.32,permit,tcp,172.17.66.32/28,170.70.13.79/32,any,any
acl_udp_172.17.66.32,permit,udp,172.17.66.32/28,170.70.13.79/32,any,any
acl_Deny_Any_Any,deny,ip,0.0.0.0/0,0.0.0.0/0, , 
acl_icmp_reply_1,permit,icmp,172.17.149.0/25,170.70.1.4/32,any,any
acl_icmp_request_1,permit,icmp,172.17.149.0/25,170.70.1.4/32,any,any
acl_icmp_reply_2,permit,icmp,172.17.149.0/25,170.70.1.154/32,any,any
acl_icmp_request_2,permit,icmp,172.17.149.0/25,170.70.1.154/32,any,any
acl_icmp_reply_3,permit,icmp,172.17.149.0/25,170.70.49.27/32,any,any
acl_icmp_request_3,permit,icmp,172.17.149.0/25,170.70.49.27/32,any,any
